title,content,reg_date,view_count,notice
2025학년도 2학기 국가근로장학금 1차 학생신청 기간 안내(~ 6. 23(월) 18시),"**2025년도2학기1** **차 국가근로장학금 학생신청 기간*** 을 안내하오니 국가근로를 희망하는 학생은 기간 내에 신청하시기 바랍니다.
* 한국장학재단 2025 년 2 학기 학자금 ( 국가장학금 , 학자금대출 포함 ) 1 차 통합신청 기간과 동일
*** 유의 사항**
1) 우리 대학은 1차 신청자가 많으므로 2차에 신청할 경우 선발(대기)될 가능성이 낮습니다.
**`25-2학기 근로를 희망하는 경우** **가급적 1차 신청기간에 신청** 하시기 바랍니다.
2) **장애대학생봉사유형** 신청자는 **1차 기간에 일반유형으로 신청** 하시기 바랍니다.
3) 국가근로 선발 시 한국장학재단에서 **소득분위 확정을 받아야 선발대상** 이 되므로 가급적 빨리 신청하여
소득분위를 확정 받으시기 바랍니다.
**□(1차)학생신청기간:2025. 5. 23.(금) 9시~ 6. 23.(월)18시까지**
※ 주말 및 공휴일 포함 신청기간 내 24 시간 신청가능 ( 단 , 시작일 및 마감일 제외 )
- 2학기 근로기간: 2025. 9월. ~ 2026. 2월(동계방학* 포함)
* 동계방학 근로신청은 별도로 받지 않으며, 포기자 발생 시 2학기 신청자 중에서 교체 선발
□ 신청방법 : 한국장학재단 홈페이지 및 모바일 앱을 이용하여 신청 ( 붙임 참고 )
붙임   2025년도 2학기 1차 국가근로장학금 학생신청 매뉴얼 1부.   끝.",2025. 5. 21,150,False
☆중요☆ 2025학년도 1학기 졸업자격인증 신청 안내 [학생신청: 5/12(월) ~ 7/11(금)],"1. 관련
가 .「 국립창원대학교 학칙 」 제 75 조 ( 대학의 학년수료 ), 제 77 조 ( 학위수여 )
나 .「 국립창원대학교 학사운영규정 」 제 93 조 ( 졸업요건 )
2. 2025 학년도 1 학기 졸업자격인증 계획을 아래와 같이 알려드리니 기한 내 신청하기 바랍니다 .
가 . 신청방법
1) 학생신청 : 2025. 5. 12.( 월 ) ~ 7. 11.( 금 ) 까지 ※ 추가기간 없음
2) 학과심사 및 승인 : 2025. 5. 12.( 월 ) ~ 7. 15.( 화 )
다 . 기타 행정사항
1) **기수료한 학생** **신청 가능**
2) 교과목 이수 및 비교과 인증은 성적 확정일 (2025-1 학기 및 하기 계절학기 ) 에 별도 처리 예정 ( 신청 제외 )
붙임 1. 졸업자격인증제 신청 안내 1 부 .
2. 졸업자격인증제 업로드 시스템 활용법 ( 학생신청 ) 1 부 .
3. 산학협력인증 대상 교과목 현황 1 부 . 끝 .
| 학사정보시스템 | ⇨ | 졸업정보 | ⇨ | 졸업인증신청 | ⇨ | 2025-1학기 졸업인증항목별 입력 | ⇨ | 증빙자료 업로드 | ⇨ | 저장(접수증 출력) |",2025. 5. 8,272,True
[장학] 2025년 (재)경상남도장학회 대학생 장학사업 안내 [,"( 재 ) 경상남도장학회 대학생 장학사업을 아래와 같이 안내하오니 , 해당되는 도내 대학생들이 신청하시기 바랍니다 .
| 사업명 | 선발인원 | 지원대상 | 지원금액 | 신청기간 |
| 대학 입학생장학금 | 200명 | - 2025학년도 입학생-학자금 지원구간3구간-평균4등급 이내 | 200만원 | 3. 31.(월) ~ 4. 25.(금) |
| 대학생 단기해외연수(미국) | 30명 | -도내 대학 학부생-학자금 지원구간6구간-평균3.0이상 | 항공료,연수비 등 | 4. 1.(화) ~ 5. 2.(금) |
| 해외 교환학생장학금 | 20여명 | -도내 대학 학부생-학자금 지원구간6구간-평균3.0이상-모교에서 파견하는 교환학생 선정(예정)자 | (비아시아) 500만원(아시아) 300만원 | (1차) 4. 8.(화) ~  4.29.(화)(2차)10. 7.(화) ~ 10.28.(화) |
| 대학 재학생장학금 | 100명 | - 2~4학년 재학생-학자금 지원구간3구간-평균3.0이상 | 100만원 | 9. 1.(월) ~ 9.26.(금) |",2025. 4. 11,140,True
SW중심대학사업단 2025년 1차 SW-DNA 서포터즈 모집 안내,,2025. 2. 17,148,False
[정보통신기획평가원] TOPCIT 제22회 정기평가 시행 안내 [응시 희망자: ~9/5(목)까지 학과 전화 바람],,2024. 8. 19,135,False
☆중요☆ 전공필수 「CEA0028 소프트웨어공학」 개설 학기 변경 알림,"전공필수 **「CEA0028 소프트웨어공학」** 개설 학기 변경 알림
1. 2025학년도 전공교육과정 개편에 따라 「CEA0028 소프트웨어공학」 개설 학기 변경
2. 변경내용
| 이수구분 | 학수번호 | 교과목명 | 학점 | 개설학기 |
| 변경 후 | 변경 전 |
| 전공필수 | CDA0028 | 소프트웨어공학 | 3 | 3학년 1학기 | 3학년 2학기 |
| 전공선택 | CDA0154 | 소프트웨어설계 | 3 | 3학년 2학기 | 3학년 1학기 |",2025. 2. 27,313,True
2025.2월 졸업대상자 핵심역량 인증 예비사정 결과 조회 안내 [조회방법: 학생 개별 조회],,2024. 10. 24,257,False
2025학년도 후기 교환/방문학생 프로그램 모집 안내,"1. 관련: 국제협력실-1119(2025.2.14.)「2025학년도 후기 교환/방문학생 프로그램 운영계획」
2. 국제협력실에서는 우리대학 학생들이 외국어 실력을 배양하고 글로벌 인재로 성장할 수 있도 록 돕고자 2025학년도 후 기 교환/방문학생 프로그램 참가자를 다음과 같이 모집하고 있습
니다. 이에  관심있는 학생들의 많은 지원 바랍니다.
1. 모집대상 : 교환유학에 관심 있는 창원대학교 학부생
2. 모집인원 : 2 개국 4 개 대학 약 10 명
3. 모집기간 : 2025.2.19.( 수 ) - 3.5.( 수 ) 18:00
4. 세부내용 : 붙임파일 참고
붙임 1. 2025 학년도 후기 해외파견 프로그램 운영계획 ( 안 ) 1 부
2. 파견대학 세부사항 ( 중국외권 ) 1 부
3. 학업계획서 1 부 . 끝 .",2025. 2. 17,119,False
2024학년도 전기(2025년 2월) 학위수여식 개최 및 부대행사 안내,"( 제 43 회 ) 2024 학년도 전기 (2025 년 2 월 ) 학위수여식을 개최하오니 , 학사 및 석사 · 박사 학위수여 대상자는 참석하여 주시기 바랍니다 .
1. 일시 : 2025. 2. 14.( 금 ) 10:30 ~
2. 장소 : 도서관 옆 야외 행사장
정문폐쇄로 인하여 우회도로가 복잡하오니 , 동문 ( 도청후문방향 ) 및 북문 ( 국도 25 선방향 ) 으로 통행하시기를 안내드립니다 .
3. 유의사항
● 학사 및 석사 · 박사 학위수여 대상자 는 학위복을 착의하고 행사당일 오전 10 시까지 식장 에 입실하여야 함 .
● 학사 및 석사는 학위가운과 졸업증서 ( 학위기 ) 를 2.14.( 금 ) 부터 학과사무실에서 수령 가능함 .
● 박사는 개별적으로 학위가운을 준비 하여야 하며 , 학위기는 학위수여식에서 총장님 이 직접 수여함 ( 학위수여식 불참자는 대학원행정실에서 학위기 수령 )
※ 문의처
- 학 부 생 ( 학사 ) : 교육학사과 213-2055
- 대학원생 ( 석사 ‧ 박사 ): 본인 소속 대학원 행정실
( 일반대학원 213-2394, 교육대학원 213-2394, 사회복지대학원 213-2323,
행정대학원 213-2323, 경영대학원 213-2333, 보건대학원 213-2353, 산업대학원 213-2365)
- ( 행사 1) 2024 학년도 총장이 쏜다 ( 최종편 ) 졸업아 ! 축하해 【 운영기간 : 2025.2.14.( 금 ) 09:30~12:30 】
- ( 행사 2) 포토존 및 테마 촬영공간 【 운영기간 : 2025.2.12.( 수 ) ~ 2.16.( 일 ), 5 일간 】
※ 총학생회 별도 포토존 운영 ( 장소 : 대학본관 주변 또는 대운동장 )
- 장소 : 학내 지도상 위치
| 담당자 | 교육학사과 | 이영호 | 213-2055 |
|  |  |
| (제43회)2025년2월 학위수여식 개최 |
|  |  |
|  |  |
| 2025년2월 학위수여식 부대행사 안내 |
|  |  |",2025. 2. 6,451,False
"☆4학년 필독☆ 2025학년도 제37회 봉림소프트웨어전시회 패널 제출 안내 [서식 변경됨, 제출기한 ~5/14(수)]","2025학년도 졸업작품 전시회 개최 와 관련하여 일정 및 판넬 제출 안내 드립니다.
**1. 행사명:** **제37회 봉림소프트웨어전시회**
**2. 일시:** **2025.5.30.** **(금)**
**3. 장소:** **예술대전시실(63호관 1층)**
**4. 제출 서류**
가. 제출대상: 2025-1학기 캡스톤디자인 최종 발표 신청 팀(학생)
**나. 제출서류:**
- 판넬:  붙임의 양식으로 제출 (작성요령 참고하여 작성바람)
- 2025년 봉림소프트웨어전 참가현황 (서식 작성하여 제출)
다. 제출기한: **~5/14(수) 18:00까지,** [computer@changwon.ac.kr](mailto:computer2@changwon.ac.kr) **☞ 기한 엄수**
라. 기타: 메일 제목 ' 봉소_조원이름1, 조원이름2' 으로 제출",2025. 4. 15,1076,False
"☆학과주관☆ 2025 청출어람 전공탐색공동체 전문가(졸업생) 초청 특강 참여 안내 [5/9(금) 15시, 55516호]","1. 프로그래명: 전공탐색 **2025 전공만나Dream 「전공탐색공동체」** 프로그램
2. 운영주제: 전문가 초청 특강
3. 운영기간: 2025.5.1. ~ 12.22.
4. 운영방법: 전공분야 및 취업 특강 5회
5. 운영계획
※ 특강 종료 후 질의응답 가능
6. 전달사항: **2025.4.8~9. 수요조사에 응답한 21명의 학생은 필수 참석** 이며, 컴퓨터공학과 학부, 대학원생 누구나 참여 가능
| 회차 | 특강주제 | 강사 | 일시 | 장소 |
| 1회 | 컴퓨터공학의 현재 | (주)TIS 김준형(구.통일정보통신) | 2025.5.9.(금) 15:00~18:00 | 55516호 |
| 2회 | 인공지능이 여는 세상 | 삼성중공업 한상동 | 2025.5.23.(금) 예정 | 55516호 |
| 3회 | 대학, 대학원 진로 | 진해고등학교 김주연 | 2025. 6.20.(금) 예정 | 55516호 |
| 4회 | 미래의 직업 | 창원시청 신희자 | 2025.10.17.(금) 예정 | 55516호 |
| 5회 | 제조업에서의 컴퓨터 사용 | 두산정보통신 천세웅 | 2025.10.31.(금) 예정 | 55516호 |
※ 강사, 학과 내부사정에 따라
특강 일시, 주제,
강사 등 세부 운영계획은 변경될 수 있음",2025. 5. 8,94,False
2024학년도 후기('25.8월) 조기졸업(수업연한 단축) 신청 안내,"1. 관련
가 .「 국립창원대학교 학칙 」 제 39 조 ( 수업연한 ), 제 40 조 ( 수업연한의 단축 )
나 .「 국립창원대학교 학사운영규정 」 제 14 장 졸업
2. 2024 학년도 후기 ( ‘ 25.2 월 ) 조기졸업 ( 수업연한 단축 ) 신청 기간을 아래와 같이 알려드리오니 희망하는 학생은 기한내 신청하시기 바랍니다 .
○ 제출 안내
붙임 1. 2024 학년도 후기 조기졸업 ( 수업연한 단축 ) 신청 안내문 1 부 .
2. 조기졸업 ( 수업연한 단축 ) 신청서 1 부 . 끝 .
| 구분 | 신청 기간 | 비고 |
| 학생 신청 및 접수 | ○2025. 3. 19.(수) ~ 3. 27.(목) |  |
| 학생 제출 서류 | 1)수업연한 단축 신청서【붙임2】 1부2)성적증명서1부 |  |
| 학생 제출 기한 | ○2025. 3. 28.(금) 15시 | 학과 사무실 제출 |",2025. 3. 18,82,False
2025-1학기 <객체지향프로그래밍> 추가 수강 안내,"#1. 구     분: 전공선택
#2. 학수번호: CDA0155
#3. 교과목명: 객체지향프로그래밍
#4. 수강 안내
※ 수강제한인원은 추가 여석이 아닌, 당시의 수강인원을 포함한 인원으로 최종 수강 인원임.
| 분반 | 담당교수님 | 수강가능학년 | 수강제한인원 | 수강가능 일시 | 유의사항 |
| 00 | 최도진 | 2,3,4학년 | 33명 | 3/4(화) 11:50 | 없음 |
| 01 | 김형준 | 2,3,4학년 | 24명 | 3/4(화) 11:55 | 없음 |",2025. 2. 25,348,False
대학생 AI윤리 역량 강화를 위한 온라인 교육 [이수시간 1시간 당 비교과마일리지 1점 부여],,2024. 12. 24,130,False
"☆명예선양, 국가시험합격자 장학생☆ 2025-1학기 배정외 비감면 장학 신청 안내 [~6/9(월)까지 학과사무실 신청]","2025-1 학기 명예선양 및 국가시험합격자 장학생 선발을 안내드리니,
**해당 학생** 께서는 **첨부 문서를 참고** 하여 **기한(2025.6.9.(월** **)) 내에 신청** 하시기 바랍니다.
□ 선발대상
○ 각종 활동 등을 통한 대학의 이미지 제고 및 학교 발전에 공로가 있는 학생
□ 선발장학내용
○ 학생과에서 선발하는 배정외 비감면 장학금
국가시험합격자 , 공로 · 봉사 ( 명예선양 장학금 * )
* 명예선양 장학금 : ‘ 국내·외 각종 입상대회 상위 입상’, ‘선행 , 미담사례 등으로 표창장 , 감사패 등을 수여’, ‘공연 , 선행 등 대외 언론보도를 통한 대학 이미지 거양 ’ ‘봉사활동 ’ 등으로 학교 발전에 공로가 있는 학생에게 지급하는 장학금
※ 제외 기준 :「 창원대학교 장학금 규정 」 제 7 조제 2 항 내지 제 3 항
○ 인정기간: '24.9.1. ~ '25.5.31. (봉사활동: '25.1.1. ~ '25.5.31.)
※ 2025.8월 졸업예정자 또는 학생과의 사전협의한 특별공연은 인정기간을 '25.6.30.까지로 함
○ 선발 절차
○ 장학금 종류 및 제출서류",2025. 5. 30,289,False
2025학년도 후기('25.8월) 졸업사정 대상자 핵심역량 인증제 예비사정 결과 확인 안내,"1. 예비사정 결과조회 방법: 학생 개별 조회
※ 조회방법 : 이뤄드림 시스템 ⇨ 마이페이지 ( [https://edream.changwon.ac.kr/ko/portfolio](https://edream.changwon.ac.kr/ko/portfolio) )
※ 홍보 게시글 복사: [https://www.changwon.ac.kr/icce/na/ntt/selectNttInfo.do?mi=4505&nttSn=1368566](https://www.changwon.ac.kr/icce/na/ntt/selectNttInfo.do?mi=4505&nttSn=1368566)
2. 향후 추진 일정
1) 예비사정 결과 및 역량 점수 확인 안내 : 2025. 5. 2 ~ 상시
2) 교과 - 비교과 핵심역량 점수 적립 : 매 학기별 점수 확정
3) 핵심역량 데이터 점검 및 학부생 최종 확인 기간 이뤄드림 : 2025. 7 월 ~ 8 월 초
4) 2024 학년도 후기 ΄25.8 졸업자 확정 교육학사과 : 2025. 8 월 초
5) 핵심역량 인증 선발 확정 소관위원회 및 인증서 수여 : 2025. 8 월 중
붙임 1. 2024 학년도 후기 (΄25.8) 핵심역량 인증제 예비사정 결과 확인 안내 1 부
2. 홍보 포스터 1 부 . 끝 .",2025. 5. 8,182,True
