number,title,author,date,views,content,content_type,url,ntt_sn,attachment_count,attachment_names,image_count,image_urls,link_count,links
2912,"[장학] 2025-2학기 외국인 유학생 특별 장학금 신청 [~7/23(수), 학과사무실 문의]",강**,2025. 7. 23,26,"1. 근거 및 관련
가 . 창원대학교 외국인 유학생 장학금 지급 지침 제 3 조 3 항
나 . 국제교류교육원 -2656(2022.06.09.) 「 외국인 유학생 특별 장학금 신설 ( 안 )」
2. 2025 학년도 2 학기 외국인 유학생 특별 장학금 지급 계획 을 붙임과 같이 수립하여 시행하고자 하오니 아래에 해당되는 학생은
2025. 7. 23.(수) 까지 **학과사무실로 문의** 하여 주시기 바랍니다 .
가 . 추천대상
○ (학교생활 긴급지원 장학금) 직계존비속 및 본인의 대한민국 법정감염병 확진, 본국 전쟁(피해국), 천재지변 등으로 경제적 어려움에 처해 학교 생활이 곤란한 재학생
○ (6·25 UN 참전용사 후손 장학금 ) 6·25 해외참전용사 후손임이 확인된 사람으로 우리 대학 유학생 특별전형에 합격한 신입생
나 . 장학금액 및 수혜기간
○ 학교생활 긴급지원장학금 : 사림 ( 수업료 Ⅱ) / 재학중 최대 2 학기
○ 6·25 UN 참전용사 후손 장학금 : 봉림 ( 등록금 전액 ) / 수업연한
다 . 선발인원
○ 학교생활 긴급지원 장학금 : 예산범위 내 선발
※ 후보자 선발절차 : 학과 추천 ( 공문 ) → 국제처장 후보 선발
○ 6·25 UN 참전용사 후손 장학금 : 연간 4 명 내외 ( 학부 2 명 / 대학원 2 명 )
라 . 선발제외
○ 직전학기 평점 2.0 미만
○ 수업연한 초과자, 직전학기 6학점 미만 이수자 등「국립창원대학교 장학금 규정」에 따름
붙임 2025 학년도 2 학기 외국인 유학생 특별 장학금 지급 계획 ( 안 ) 1 부 . 끝 .",text_only,https://www.changwon.ac.kr/ce/na/ntt/selectNttInfo.do?mi=6627&nttSn=1374070,1374070,0,,0,,0,
2911,[SW중심대학사업단] SW-DNA 서포터즈 모집 [7/7~7/16],강**,2025. 7. 11,83,,image_only,https://www.changwon.ac.kr/ce/na/ntt/selectNttInfo.do?mi=6627&nttSn=1373354,1373354,0,,1,https://www.changwon.ac.kr/upload/editor/20250711/IMG_092239.png,0,
2910,☆장학☆2025-2학기 장학사정 반영을 위한 어학성적표 제출 안내 [제출기한 ~7/23(수)],강**,2025. 7. 10,123,"2025-2학기 장학사정 반영을 위한 어학성적표 제출바랍니다.
1. 대상: 2025-1학기 재학생 (수업연한 초과자 제외)
2. **제출기한: 2025.7.23.(수)**
3. 최근 2년 이내의 성적만 인정함
단, 한 번 제출한 회차의 어학성적표는 다시 제출할 수 없음 (성적표 하나 당 1회에 한하여 인정)
4. 어학성적 인정 대상 시험: TOEIC, Opic, 토익스피킹
5. 제출방법: 메일 제출 (computer@changwon.ac.kr) 또는 직접 제출
- 제출 시 파일명: 어학성적증명서_학년_학번_이름 ☞ 학년은 2025-1학기 기준으로 작성
(예. 어학성적증명서_3학년_20221229_컴공과)",text_only,https://www.changwon.ac.kr/ce/na/ntt/selectNttInfo.do?mi=6627&nttSn=1373322,1373322,0,,0,,0,
2909,[장학] 25-1학기 장학119 V.2(사림복지-사각지대) 장학생 선발 계획 [7/14(월) 12시까지 학과사무실 제출],김**,2025. 7. 10,78,"1. 학생과-4758 호 ' '25-1학기 장학119 V.2(사림복지-사각지대) 장학생 선발 및 운영계획 알림 '과 관련입니다.
2 . 긴급한 가계곤란 을 겪고 있는 학생들 이 학업에 전념할 수 있도록 지원하는 「΄ 25-1 학기 장학 119 V.2 ( 사림복지 - 사각지대 ) 장학생 」 선발 계획을 수립 하여 운영하오니 , 학생들에게 적극 안내하여 주시기 바랍니다 .
가 . 지원대상
- 소득 10구간 또는 소득 구간이 없는 학생 중 긴급가계곤란 ( 경제사정곤란자 포함 ) 을 겪고 있는 학생
나 . 긴급한 가계곤란 상황 인정기간 : 추천일까지 상황이 발생 및 유지
다 . 장학금액 : 등록금 범위 내 최대 지원
※ 단 , 타 등록금성 장학금을 포함하여 총 등록금을 초과할 수 없음
라 . 기타 내용 : 붙임 자료 참조
마. 신청기간: 2025.7.9.(수) ~ 7.14.(월)
추천기한: 2025.7.15.(화)까지 (학생과로 제출)",text_only,https://www.changwon.ac.kr/ce/na/ntt/selectNttInfo.do?mi=6627&nttSn=1373320,1373320,0,,0,,0,
2908,"[특강]IEEE Distinguished Lecturer Tour_UMKC 대학 최백영 교수님 초청 특강 알림 [7/16 13시, 98호관 204호]",강**,2025. 7. 8,75,"○주제 :
5G 및 그 이후 세대의 연합 개방형 네트워크에서 애자일 네트워크 서비스와 혁신
○일시 : 2025년 7월 16일 오후 1:00-2:30
○
장소 : 글로벌 평생 학습관(98호관) 204호실
○
주관 : 창원대학교 산업기술 연구원
○
후원 : IEEE Busan Section
○
행운권 추첨 행사: 행사 참가자분들께 추첨을 통해 고급 기계식 키보드(15만원 상당), 경량 마우스 등의  푸짐한 기념품을 증정합니다.",text_only,https://www.changwon.ac.kr/ce/na/ntt/selectNttInfo.do?mi=6627&nttSn=1373128,1373128,0,,0,,0,
2907,"☆2025.8월 졸업예정자☆ 2024학년도 후기('25. 8월) 졸업 본사정 실시 ☆졸업가부:7/22(화)10:00~7/23(수)17:00, 학과문의☆",신**,2025. 7. 3,121,"**2024학년도 후기('25. 8월) 졸업 본사정 일정 안내**
□ 2024 학년도 후기 ('25.8 월 ) 졸업예정자 졸업 본사정 계획을 아래와 같이 안내하오니 참고하시기 바랍니다.
**《졸업 본사정 세부업무 추진 일정표》**
※ 계절학기 이수구분 변경 기간이 짧으므로, 해당 학생은 당일 반드시 확인 및 이수구분 변경 하시기 바랍니다.
****
**□졸업사정 심사 기준**
[ 창원대학교 학사운영규정 제 14 장 제 93 조 ( 졸업요건 ), 제 94 조 ( 졸업자격 인정 )]
1. 교양 및 전공필수 ㆍ 전공선택 등의 이수과목 ㆍ 학점 충족 여부
2. 최소전공 이수학점의 충족 여부
3. 복수전공 , 부전공 , 연계전공 , 교직 및 심화전공의 이수과목 ㆍ 학점의 충족 여부
4. 수료학점 충족 여부
5. 취득학점의 평점평균 충족 여부
6. 재학연한의 초과 여부
7. 졸업논문 등의 합격 여부
8. 졸업자격인증 이수 여부.
| 구분 | 업 무 내 용 | 기간 | 비고 |
| 학생 | 이수교과목 이수구분 변경※'25-하기 계절수업  '25..7.22.(화) 14:00부터 가능(별도 공문 안내 예정) | 2025.7.9.(수) ~ 7. 14.(월) | -학사정보⇨이수구분변경 신청(학생) ⇨승인(학과)※다전공 자격원 제출:이수구분 변경사항 반영 이후자격원 제출 |
| 학과 | 학과 본사정 졸업판정 입력기간 | 2025.7.21.(월) ~ 7.24.(목) | 졸업판정관련 문의(해당 학과 사무실 또는 교육학사과213-2052) |",text_only,https://www.changwon.ac.kr/ce/na/ntt/selectNttInfo.do?mi=6627&nttSn=1373040,1373040,0,,0,,0,
2906,☆2025.8월 졸업예정자☆ 2024학년도 후기('25. 8월) 졸업대상자 이수구분 변경 신청안내,신**,2025. 7. 3,204,"****
**2024학년도 후기('25. 8월) 졸업대상자 이수구분 변경 안내**
□ 2024 학년도 후기 (2025.8 월 ) 졸업예정자 이수구분 변경 기간을 아래와 같이 안내하오니 **이수구분 변경이 필요한 학생은**
**반드시 기한을 준수하여 신청** 해주시기 바랍니다.
****
**《졸업 본사정 세부업무 추진 일정표》**
**□졸업사정 심사 기준**
[국립 창원대학교 학사운영규정 제 14 장 제 93 조 ( 졸업요건 ), 제 94 조 ( 졸업자격 인정 )]
1. 교양 및 전공필수 ㆍ 전공선택 등의 이수과목 ㆍ 학점 충족 여부
2. 최소전공 이수학점의 충족 여부
3. 복수전공 , 부전공 , 연계전공 , 교직 및 심화전공의 이수과목 ㆍ 학점의 충족 여부
4. 수료학점 충족 여부
5. 취득학점의 평점평균 충족 여부
6. 재학연한의 초과 여부
7. 졸업논문 등의 합격 여부
8. 졸업자격인증 이수 여부.
| 구분 | 업 무 내 용 | 기간 | 비고 |
| 학생 | 2025-1학기 이수교과목 이수구분 변경《최종 이수과목 이수구분 변경 기간》※ '25-하기 계절수업 이수구분변경은 '25.7.22.부터 가능 | 2025. 7. 9.(수)~ 7. 14.(월) 18시 | -학사정보⇨이수구분변경 신청(학생)⇨승인(학과)※다전공 자격원 제출:이수구분 변경사항 반영 이후자격원 제출 |",text_only,https://www.changwon.ac.kr/ce/na/ntt/selectNttInfo.do?mi=6627&nttSn=1372927,1372927,0,,0,,0,
2905,2025-1학기 비교과마일리지 확인 및 정정기간 안내 [7/5~7/8],강**,2025. 7. 2,58,,image_only,https://www.changwon.ac.kr/ce/na/ntt/selectNttInfo.do?mi=6627&nttSn=1372772,1372772,0,,1,https://www.changwon.ac.kr/upload/editor/20250702/IMG_171927.png,0,
2904,2025학년도 2학기 다전공 및 마이크로디그리 선발 안내,신**,2025. 7. 2,123,"2025 학년도 2 학기 다전공(복수전공·융합전공(구.공유복수전공)·연계전공·부전공) 및 마이크로디그리 선발 계획을 아래와 같이 안내드리오니,
기간 내 신청해주시기 바랍니다.
****
**※ (참고) 2025학년도 교직복수전공 선발허용인원 없음**
붙임  1. 2025학년도 2학기 다전공 및 마이크로디그리 선발 계획 1부.
2. 2025학년도 2학기 다전공 및 마이크로디그리 선발 허용인원 1부. 끝.
문의 학과사무실 또는 교육학사과(055-213-2052), 교직복수전공(055-213-2058)
| 《 2025학년도 2학기 다전공·마이크로디그리 선발 계획 》 |
| □신청 자격 |
| ◼복수전공·융합전공(구.공유복수전공):2개 학기 이상이수자로 1학년 수료학점 이상 취득한 자-휴학생 신청 가능(※편입생 신청 불가)-모집 대상 학과(부):최소전공학점제 시행 학과(부)※복수전공(최소전공인정학점제)을 시행하지 않는 학과의 학생은복수전공을 이수할 수 없음.⇨법학과, 체육학과, 간호학과,생명보건학부,건축학부(건축학·건축공학), 음악과, 미술학과, 무용학과, 미래융합대학(문화테크노학과 제외) 전 학과1)해당 학과 소속학생의 타 학과(부)복수전공 이수 불가2)타 학과(부)학생의 해당 학과 복수전공 이수 불가*생명보건학부: 2019학년도부터 복수전공 신규 이수 불가 및 생명보건학부 소속 학생 타학과 복수전공 이수 불가 |
| ◼연계전공:1학년 과정의 2개학기를 이수한 자 |
| ◼부전공:1학년 과정의 2개학기를 이수한 자※사범계학과(특수교육,유아교육),간호학과,건축학전공 및 교직과정이수:부전공을 허용하지 않음.*일부 학과의 사정에 따라 부전공 허용 인원 제한 |
| ◼마이크로디그리:2025학년도 2학기 마이크로디그리 운영 과정 확정 후 추후 선발 예정(2025.8월 중 예정) |
| □신청 일정 |
| ◼ 다전공·마이크로디그리 학생 신청 기간: 2025. 7. 9.(수) ~ 7. 11.(금)※와글⇨학사정보시스템⇨학사정보⇨다전공⇨다전공신청(NEW) |
| ◼다전공·마이크로디그리 선발 결과 알림: 2025. 7. 21.(월) 예정 |",text_only,https://www.changwon.ac.kr/ce/na/ntt/selectNttInfo.do?mi=6627&nttSn=1372823,1372823,0,,0,,0,
2903,☆2025.8월 졸업예정자☆ 2025학년도 2학기 학사학위취득 및 수료 유예 신청 안내,신**,2025. 6. 26,237,"****
**2025학년도 2학기 학사학위취득 및 수료 유예 신청 안내**
****
****
**□ 2024학년도 후기(2025.8월) 졸업대상자의 학사학위취득 유예 및 수료 유예 신청 기간 및 절차를 아래와 같이 알려드리오니,**
**학사학위취득(수료) 유예를 희망하는 학생은반드시기한 내 신청해 주시기 바랍니다.**
****
**1. 학사학위취득 유예 및 수료 유예 적용 기준**
- 신청대상 : 2024학년도 후기(2025.8월) 학부 졸업예정자
- 학위취득 유예 가능 기간 : 총 4 학기 (2 년 ) 《 학기별 개별 신청 》
- 신청자격 : 학칙 제39조(수업연한)을 충족하고, 학칙에 규정된 졸업 ( 수료 ) 요건을 충족한 자로서 8 학기 이상 이수한 자
(건축학 전공: 10학기 이상)
****
**【 학사학위취득 유예 및 수료 유예 신청 조건 】**
**2. 졸업유예(계속 수학) 신청기간 및 허가절차**
****
※ 수강자[학사학위취득(수료) 유예] 등록금: 수업 연한 초과자와 동일한 수강신청 학점에 따른 차등납부제 적용
《수강신청 ⇨ 등록(수강신청 학점별 차등납부) ⇨ 최종 수학 허가》
※ 미수강자 유예금: ‘학사학위취득 유예’ 신청자 중 미수강하는 학생은 유예금(등록금의 8%) 납부
**3. 학사학위취득(수료) 유예자 수강신청 및 등록기간**
**4. 유의사항**
- 유예승인 후 ‘ 휴학 ’ 불가
- 조기졸업 승인자는 학사학위취득 ( 수료 ) 유예를 신청할 수 없음 .
- 학사학위취득 유예 허가자는 재학생과 동일한 시설 이용(도서관, 학생생활관 등)
- 학사학위취득 유예 신청자 중 미수강 학생은 수강신청 변경기간 중 수강신청 불가
**5. 기타 문의** : 각 학과사무실 또는 교육학사과 ( ☎ 055-213-2052)
| 구분 | 졸업학점(A) | 졸업자격인증(B) | 졸업논문(C) | 유예 적용 기준 | 수강신청 의무 | 등록 의무 |
| 교과목 인증 | 필수(외국어)및 선택인증(2영역) |
| 졸업예정자(8학기 이수 예정자) | 이수 | 이수 |  | 모두 충족 |  | 통과 |  | 학사학위취득 유예 | X |  | 수강신청 가능 | O | 수강학점 당 등록금 차등 납부(미납시 졸업 처리) |
|  | 미수강 허용 | O | 유예금 납부[등록 금액의8%](미납시 졸업 처리) |
|  | 미통과 |  | 수료 유예 | O | 미수강시유예 취소(수료 처리) | O | 수강학점 당 등록금 차등 납부(미납시 수료 처리) |
|  | 일부 충족 |  | 통과 |
|  | 미통과 |
| 미이수 |  |  |  |  |  | 졸업 불가(유예 신청 불가) | O | 미수강시미수강 제적 대상 | O | 수강학점 당 등록금 차등 납부(미납시 미등록 제적 대상) |
| 미이수 |  |  |  |  |  |  |
| 구분 | 신청 및 승인기간 | 신청 및 허가 절차 | 비고 |
| 학생(신청자) | 2025. 7. 7.(월) ~7. 10.(목) 12:00 | 와글 ⇨ 학사정보 ⇨ 학사학위취득(수료) 유예 신청※ 학사학위취득(수료) 유예 승인 이후 수강신청(장바구니 포함) 가능 | 학사학위취득(수료)유예 승인여부 확인(2025.7.24.예정) |
| 수강신청 | 2025.8.4.(월) <4학년>2025.8.8.(금) <전체학년> | 수강신청 변경기간(2025.9.1.~9.5.) 중수강신청‘학점’변경 불가(동일 학점 내 수강과목 변경 허용) |
| 등록기간 | 2025-2학기 재학생 등록금 납부기간[‘25. 8월 중<예정>]내 지정 금융기관에 납부※ 분할납부 불가 |
| ※ 추가 등록기간 및 추가 유예 신청기간 없음 ⇨ 미등록(등록금/유예금)시 졸업/수료 처리 |
| ※ 등록금(유예금)을 등록한 학생에 한하여 학사학위취득(수료)유예 최종 허가(2025.8.29.예정) |",text_only,https://www.changwon.ac.kr/ce/na/ntt/selectNttInfo.do?mi=6627&nttSn=1372555,1372555,0,,0,,0,
2902,☆2025.8월 졸업예정자☆ 2024학년도 후기(2025.8월) 졸업예정자 다전공 자격원 제출 안내,신**,2025. 6. 26,147,"****
**2024학년도 후기(2025.8월) 졸업예정자 다전공 자격원 제출 안내**
2024학년도 후기(2025.8월) 졸업예정자 중 다전공을 이수한 학생의 「자격원」 신청 및 제출 절차를 아래와 같이 알려드리오니,
**해당 학생들은다전공 자격원을 소속학과 사무실로반드시 기한 내 제출** 해주시기 바랍니다. **<추가 신청기한 없음>**
**1. 제출기간 및 방법**
★ 학생 제출서류 : 다전공별 자격원 ( 학사정보시스템 출력 ) 및 성적증명서 각 1 부
**★ USG 공유대학 융합전공 이수자는 학과 방문 전 반드시 RISE사업단을 방문하여 중복인정교과 확인 필요**
- RISE사업단 위치: 도서관 5층 502호
- 담당자: RISE사업단 박현지, 구민경(055-213-4515,4517)
2. 유의사항
가. 자격원 교과목명과 성적증명서 교과목명의 이수구분 및 이수학기 확인
나 . 지정 기간 내 소정의 서류를 제출하지 않을 경우 자격 취득 불가
**3. 졸업예정자 다전공 신청 관련 안내사항(필독)**
가 . 졸업예정자 중 부전공 취득 희망자[자유선택 취득학점이 부전공 취득학점(21학점) 이상인 경우]
: 다전공 ( 부전공 ) 신청 ⇨ 승인 후 다전공 자격원 제출 ⇨ 확인 ⇨ 부전공 인정 가능
※ 2025학년도 2 학기 다전공 학생 신청기간 : 2025. 7. 9.(수) ~ 2025. 7. 11.(금 )
나 . **복수전공자가 복수전공 포기 후 잔여 이수학점으로 부전공 취득 희망 시** : 부전공으로 변경/승인 후 **(교육학사과 요청)**
다전공 자격원 제출
다. **하기 계절수업 이수 후 취득 가능자는별도 다전공 자격원 제출 안내 예정('25.7월 중순)**
기타 문의는 학과사무실 또는 교육학사과(☎055-213-2052) 연락바랍니다.
붙임  학사정보시스템 다전공 자격원 신청화면 1부.   끝.
| 제출기간 | 신청 및 제출방법 | 제출처 |
| 2025.7.9.(수) ~2025.7.14.(월)<제출기한 엄수>※ 성적확정 후 제출 | ◼ ① 다전공 자격원 작성 및 출력(학사정보시스템) ⇨②다전공(제2전공) 학과(부)장다전공  이수 확인     ⇨③  다전공대학장 확인 ⇨ ④주전공(제1전공) 학과제출※ 부전공·복수전공·연계전공·융합전공(구.공유복수전공) 자격원 제출방법 모두 동일◼다전공자격원 작성:와글 ⇨ 학사정보시스템 ⇨ 다전공 ⇨다전공자격원출력클릭(수기 작성 불가)◼ 학생 제출서류(다전공별 자격원 + 성적증명서)※ 융합전공 : 학사정보시스템에서 판정(학생 제출 X / 학과 전산판정),융합전공 포기자는 학과사무실로 연락※ 부트랙 : 이수자명단 제출 (학생 제출 X / 학과에서 명단제출) | 소속학과사무실 |",text_only,https://www.changwon.ac.kr/ce/na/ntt/selectNttInfo.do?mi=6627&nttSn=1372554,1372554,0,,0,,0,
